fixture_id,season,round,match_date,status,venue_name,venue_city,home_team_id,home_team,away_team_id,away_team,home_goals,away_goals,ht_home_goals,ht_away_goals,is_home,opponent,fenerbahce_goals,opponent_goals,result,points
1237853,2024,Regular Season - 1,2024-08-10T18:45:00+00:00,FT,Ülker Stadyumu Fenerbahçe Şükrü Saracoğlu Spor Kompleksi,İstanbul,611,Fenerbahçe,3563,Adana Demirspor,1,0,1,0,True,Adana Demirspor,1,0,W,3
1237858,2024,Regular Season - 2,2024-08-17T18:45:00+00:00,FT,Göztepe Gürsel Aksel Stadı,İzmir,994,Göztepe,611,Fenerbahçe,2,2,0,2,False,Göztepe,2,2,D,1
1237874,2024,Regular Season - 3,2024-08-25T18:45:00+00:00,FT,Çaykur Didi Stadyumu,Rize,1007,Rizespor,611,Fenerbahçe,0,5,0,1,False,Rizespor,5,0,W,3
1237884,2024,Regular Season - 4,2024-08-30T18:00:00+00:00,FT,Ülker Stadyumu Fenerbahçe Şükrü Saracoğlu Spor Kompleksi,İstanbul,611,Fenerbahçe,996,Alanyaspor,3,0,1,0,True,Alanyaspor,3,0,W,3
1237887,2024,Regular Season - 5,2024-09-15T14:00:00+00:00,FT,Recep Tayyip Erdoğan Stadyumu,İstanbul,1004,Kasımpaşa,611,Fenerbahçe,0,2,0,2,False,Kasımpaşa,2,0,W,3
1237897,2024,Regular Season - 6,2024-09-21T17:00:00+00:00,FT,Ülker Stadyumu Fenerbahçe Şükrü Saracoğlu Spor Kompleksi,İstanbul,611,Fenerbahçe,645,Galatasaray,1,3,0,2,True,Galatasaray,1,3,L,0
1237906,2024,Regular Season - 7,2024-09-29T16:00:00+00:00,FT,Corendon Airlines Park,Antalya,1005,Antalyaspor,611,Fenerbahçe,0,2,0,0,False,Antalyaspor,2,0,W,3
1237926,2024,Regular Season - 9,2024-10-20T16:00:00+00:00,FT,Samsun Yeni 19 Mayıs Stadyumu,Samsun,3603,Samsunspor,611,Fenerbahçe,2,2,0,1,False,Samsunspor,2,2,D,1
1237938,2024,Regular Season - 10,2024-10-27T15:00:00+00:00,FT,Ülker Stadyumu Fenerbahçe Şükrü Saracoğlu Spor Kompleksi,İstanbul,611,Fenerbahçe,3583,Bodrum FK,2,0,1,0,True,Bodrum FK,2,0,W,3
1237943,2024,Regular Season - 11,2024-11-03T16:00:00+00:00,FT,Papara Park,Trabzon,998,Trabzonspor,611,Fenerbahçe,2,3,0,1,False,Trabzonspor,3,2,W,3
